feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Allisonella	Country	NO	-0.501344262449277	0.196403838277405	211	28	0.0114086606799351	0.0308805852990724
f__Lactobacillaceae.g__unassigned	Group	post_ltx	0.458079741868245	0.180495184369713	211	20	0.0118842255002651	0.0319277700007122
Megasphaera	Country	NO	-1.00161661817148	0.396233618036476	211	52	0.0122195536388741	0.0325854763703308
X.Ruminococcus._torques_group	Country	NO	-1.08051442410221	0.43183208169548	211	198	0.0131139577521162	0.0347134175791311
Eggerthella	Country	NO	-1.14834488892245	0.460886149667031	211	101	0.0134984054301419	0.0354702624441686
Neisseria	Group	post_ltx	0.404177117065131	0.163341463028198	211	25	0.01414491336192	0.0368997739876174
Negativibacillus	Group	post_ltx	-1.2952606122727	0.52439214313801	211	95	0.0143152408695571	0.0370754439787089
X.Eubacterium._eligens_group	Country	NO	0.931229579375641	0.380248290376501	211	112	0.0151527941712452	0.0389643278689162
Flavonifractor	Country	NO	-0.889350676182923	0.365101208109292	211	174	0.0156966178944306	0.0400764712198229
Anaeroplasma	Group	post_ltx	-0.361829579489481	0.149090258262419	211	8	0.0160794985838589	0.040764925987248
Flavonifractor	Group	post_ltx	-0.880289583704305	0.363903259081334	211	174	0.0164227333037827	0.0413439439815508
f__Enterobacteriaceae.g__unassigned	Country	NO	1.20778293595008	0.5001366689875	211	53	0.0166041846048456	0.0415104615121139
Anaerotruncus	Group	post_ltx	-0.507966843749742	0.210775638605029	211	57	0.0168233359307667	0.041768282310869
Agathobacter	Group	post_ltx	-1.25278283592421	0.520475829497541	211	153	0.016957980185457	0.0418141977175652
Rikenellaceae_RC9_gut_group	Group	post_ltx	-0.328187435238241	0.136568080112766	211	9	0.0171344004590989	0.0419090579462763
f__Erysipelotrichaceae.g__unassigned	Country	NO	-0.61687857454019	0.256922750874543	211	34	0.0172292793779136	0.0419090579462763
Veillonellaceae	Group	post_ltx	0.520436984187961	0.218205587741983	211	15	0.0179733364072827	0.0434255107826964
X.Eubacterium._siraeum_group	Group	post_ltx	-0.676430798423934	0.285780064803762	211	47	0.0188525103515567	0.045246024843736
Granulicatella	Country	NO	-0.501097042487742	0.213132624636922	211	34	0.0196531127995604	0.0468551033631903
Libanicoccus	Country	NO	-0.457640907627712	0.195525805218982	211	21	0.0202015729460364	0.0478458306616651
