feature	Actinomyces	Bifidobacterium	Rothia	Cutibacterium	Collinsella	Adlercreutzia	Eggerthella	Senegalimassilia	Slackia	f__Eggerthellaceae.g__uncultured	Bacteroides	Barnesiella	Coprobacter	Butyricimonas	Odoribacter	Muribaculaceae	Paraprevotella	Prevotella_7	Prevotella_9	Alistipes	Parabacteroides	Parasediminibacterium	Gastranaerophilales	Bilophila	Desulfovibrio	Erysipelatoclostridium	Erysipelotrichaceae_UCG.003	Faecalitalea	Holdemania	Merdibacter	Turicibacter	X.Clostridium._innocuum_group	Enterococcus	Streptococcus	o__Lactobacillales.f__unassigned.g__unassigned	Gemella	Christensenellaceae_R.7_group	f__Christensenellaceae.g__unassigned	f__Christensenellaceae.g__uncultured	Clostridia_UCG.014	Clostridia_vadinBB60_group	Clostridium_sensu_stricto_1	Agathobacter	Anaerostipes	Blautia	CAG.56	Coprococcus	Dorea	Eisenbergiella	Fusicatenibacter	GCA.900066575	Hungatella	Lachnoclostridium	Lachnospira	Lachnospiraceae_FCS020_group	Lachnospiraceae_ND3007_group	Lachnospiraceae_NK4A136_group	Lachnospiraceae_UCG.003	Lachnospiraceae_UCG.004	Lachnospiraceae_UCG.010	Marvinbryantia	Roseburia	Sellimonas	Tuzzerella	Tyzzerella	UC5.1.2E3	X.Eubacterium._eligens_group	X.Eubacterium._fissicatena_group	X.Eubacterium._hallii_group	X.Eubacterium._ruminantium_group	X.Eubacterium._ventriosum_group	X.Eubacterium._xylanophilum_group	X.Ruminococcus._gauvreauii_group	X.Ruminococcus._gnavus_group	X.Ruminococcus._torques_group	f__Lachnospiraceae.g__unassigned	Monoglobus	Butyricicoccus	Colidextribacter	Flavonifractor	Intestinimonas	NK4A214_group	Oscillibacter	Oscillospira	UCG.002	UCG.003	UCG.005	f__Oscillospiraceae.g__unassigned	f__Oscillospiraceae.g__uncultured	Anaerotruncus	Candidatus_Soleaferrea	DTU089	Faecalibacterium	Fournierella	Incertae_Sedis	Negativibacillus	Ruminococcus	Subdoligranulum	UBA1819	X.Eubacterium._siraeum_group	f__Ruminococcaceae.g__unassigned	f__Ruminococcaceae.g__uncultured	UCG.010	X.Clostridium._methylpentosum_group	X.Eubacterium._coprostanoligenes_group	Peptococcus	f__Peptococcaceae.g__uncultured	Family_XIII_AD3011_group	Family_XIII_UCG.001	Intestinibacter	Romboutsia	Phascolarctobacterium	Dialister	Veillonella	Fusobacterium	Methylobacterium.Methylorubrum	o__Rhodospirillales.f__uncultured.g__uncultured	Methylotenera	Janthinobacterium	Parasutterella	Sutterella	Escherichia.Shigella	Klebsiella	f__Enterobacteriaceae.g__unassigned	Haemophilus	Pseudomonas	Akkermansia	f__Coriobacteriales_Incertae_Sedis.g__uncultured	Enterorhabdus	f__Barnesiellaceae.g__uncultured	Alloprevotella	Prevotellaceae_NK3B31_group	Rikenellaceae_RC9_gut_group	Tannerellaceae	f__Desulfovibrionaceae.g__uncultured	Anaeroplasma	Dielma	Holdemanella	f__Erysipelotrichaceae.g__unassigned	Izemoplasmatales	Lactococcus	RF39	Anaerofustis	Defluviitaleaceae_UCG.011	Frisingicoccus	Howardella	Lachnospiraceae_UCG.001	Shuttleworthia	UCG.008	UCG.009	Pseudoflavonifractor	Hydrogenoanaerobacterium	Anaerofilum	Angelakisella	CAG.352	Caproiciproducens	Paludicola	Phocea	o__Oscillospirales.f__uncultured.g__uncultured	X.Eubacterium._brachy_group	Parvimonas	Peptostreptococcus	Terrisporobacter	Acidaminococcus
4009.V.3.lib30	8	0	5	2	876	0	6	273	0	0	7480	98	0	0	31	38	0	0	0	37	439	0	26	0	0	2	162	0	4	0	0	0	131	120	0	0	0	0	0	0	0	35	140	503	3911	107	885	496	11	375	17	6	544	21	220	27	13	0	84	61	16	3423	0	0	0	0	10	0	346	0	0	0	70	0	430	1989	5	87	21	10	56	12	0	2	183	40	0	0	3	0	3	0	3687	0	10	0	39	3075	2	0	0	0	0	3	0	0	0	11	6	134	0	200	9	32	9	0	0	0	0	0	519	180	0	0	61	27	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4009.VI.4.lib30	6	0	14	0	964	0	33	282	0	0	5347	56	0	0	15	8	0	0	0	19	348	0	8	0	0	0	180	0	2	0	0	0	122	101	2	5	0	0	0	6	0	33	104	434	4425	95	798	519	8	266	12	0	386	13	172	45	14	0	86	48	11	3299	0	0	0	0	8	0	352	0	2	0	70	0	414	1736	3	80	26	4	43	7	0	0	144	36	9	0	7	2	2	0	3732	0	17	0	32	3436	0	8	0	6	0	11	7	0	0	6	2	111	0	255	10	36	0	3	0	0	0	0	375	199	0	0	91	33	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	108	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	0	0	0
4010.III.2.lib30	0	234	0	0	389	2	0	9	0	49	923	419	16	32	93	0	131	0	578	590	186	2	264	104	0	5	12	0	0	0	0	0	0	22	0	0	309	69	0	172	65	0	115	47	929	81	262	227	0	75	5	0	60	9	37	48	8	0	4	55	10	180	0	0	11	0	0	5	44	13	8	5	56	0	521	394	27	21	8	2	40	43	19	0	1020	44	185	27	32	0	4	4	1138	0	11	0	54	681	0	7	0	40	39	0	45	67	28	55	55	14	44	1164	0	0	0	0	0	0	0	5	106	0	0	0	27	2	681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	5	0	0	0	2	0	0	0	0	0	0	0
4010.V.3.lib30	4	359	0	0	558	0	0	8	0	81	3085	1265	46	55	183	0	480	0	2020	1691	497	0	1001	317	0	0	9	0	2	0	0	0	2	21	0	0	748	192	0	546	414	25	377	231	1169	216	473	509	11	230	17	0	297	54	49	62	47	0	34	118	87	234	0	0	41	0	13	0	65	62	59	6	83	0	928	1283	47	53	59	0	132	44	43	19	3005	125	434	48	210	0	3	2	2696	0	71	10	190	1753	6	37	0	129	112	0	104	162	132	109	68	23	178	2582	0	11	0	0	0	0	0	8	362	0	0	0	31	0	2468	4	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	13	6	0	5	9	0	0	0	0	0	0	5	0	0	0	0
4010.VI.4.lib30	0	543	0	0	901	0	0	14	0	259	9289	2351	114	92	518	0	1206	0	4998	2912	1350	0	1193	490	0	6	29	0	0	0	0	0	4	26	0	0	1391	341	19	956	551	27	698	420	2363	456	959	832	9	400	39	0	531	133	38	97	54	0	40	356	110	599	0	0	101	0	7	0	143	140	86	31	218	0	1750	2492	105	93	47	0	251	101	70	0	4502	243	705	91	288	3	3	18	5208	0	73	13	355	3536	14	104	0	200	165	3	217	251	342	198	88	34	177	3567	0	0	0	0	0	5	0	22	594	0	0	0	105	0	2672	20	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	19	5	12	0	0	0	0	0	0	0	0	0	0	0	0	0
4011.3.rerun.lib32	261	3181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	12869	11876	0	0	0	0	0	0	0	0	0	7	340	0	0	6	0	121	0	0	62	0	15	151	0	0	0	0	0	218	0	0	0	0	0	0	0	0	0	0	0	25	0	279	0	0	0	4	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2616	0	0	20689	15187	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0
4011.4.rerun.lib32	234	4724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0	0	0	0	0	8393	4517	5	0	0	0	0	0	0	0	18	0	153	0	0	18	36	11	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	62	0	22	83	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	21	0	5	0	1529	0	0	10023	6804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4011.III.2.lib30	29	575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	1479	704	2	0	0	0	0	0	0	0	7	0	8	0	0	2	0	4	0	0	0	0	0	3	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	9	7	0	24	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	602	0	0	5232	3246	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4012.4.lib30	0	70	0	48	34	9	4	0	8	21	7856	3263	0	0	0	0	0	0	0	1444	2610	0	123	1027	0	0	89	0	0	0	0	0	13	94	0	0	1687	5	15	581	227	83	215	90	5262	49	1174	122	42	689	320	0	338	71	80	89	273	231	245	348	557	122	0	0	0	0	0	0	285	0	96	42	31	0	251	2419	243	100	99	7	114	264	233	855	2214	292	1235	98	253	3	0	2	5619	12	231	10	2884	314	69	143	0	134	215	0	52	210	0	139	18	0	0	0	492	10	0	0	132	0	0	62	109	81	276	350	0	1	5297	0	0	0	0	0	0	0	0	0	0	0	0	22	0	24	8	43	0	0	0	5	0	0	0	0	25	0	409	0	11	0	0	2	0	0	4	0
4012.III.2.lib30	0	35	0	0	37	2	0	0	3	9	3728	1037	0	0	0	0	0	0	0	587	498	0	110	343	0	0	26	0	2	0	0	0	0	3	0	0	687	0	3	294	49	43	53	58	798	15	248	34	6	210	106	0	139	23	51	23	45	112	106	107	191	63	0	0	0	0	0	0	118	0	11	27	12	0	141	1226	127	25	36	4	11	29	28	132	485	49	261	19	41	3	0	0	2404	0	84	12	724	143	29	24	0	85	119	0	16	69	0	68	10	0	0	0	190	0	0	0	25	0	0	6	68	98	137	209	0	0	3576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	2	0	0	0	0	0	0	3	0	5	0	92	0	0	0	0	0	0	0	0	0
4012.V.3.lib30	0	81	0	17	82	14	5	0	8	41	5332	2013	0	0	0	0	0	0	0	1033	684	0	98	452	0	0	36	0	0	0	0	0	16	49	0	0	981	15	9	346	123	93	135	63	1718	16	529	81	12	362	98	3	235	73	50	123	163	192	209	108	346	71	0	4	0	0	0	0	213	0	43	6	12	0	139	1594	135	64	39	0	13	90	55	264	631	75	488	71	59	14	4	0	3009	0	123	19	1640	194	41	134	20	127	192	0	43	97	0	84	23	0	0	0	261	8	0	0	94	0	0	41	101	71	180	335	0	5	2818	0	0	0	0	0	0	0	0	0	0	0	0	14	0	15	0	0	0	0	0	5	0	0	0	0	15	0	169	0	3	5	0	0	0	0	0	0
4021.2.lib30	17	0	0	3	0	0	137	0	0	0	34059	0	0	0	0	0	0	12	0	223	0	0	0	0	0	56	70	32	3	0	0	33	0	560	45	27	0	0	0	0	0	478	74	276	4396	887	375	2332	0	87	0	0	1307	0	32	36	5	56	737	0	18	110	12	0	0	0	0	0	34	0	0	4	0	0	449	866	0	72	0	171	0	0	0	0	0	79	0	0	65	0	0	0	4635	0	182	0	0	17231	0	0	0	0	0	0	0	0	0	0	0	472	0	0	9	82	0	0	0	0	0	0	0	4003	0	0	2484	9	0	0	0	0	0	0	0	0	0	0	82	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
4021.3.lib30	0	0	0	0	0	0	27	0	0	0	5619	0	0	0	0	0	0	0	0	36	0	2	0	0	0	0	4	8	0	0	0	16	0	25	2	0	0	0	0	0	0	99	10	42	744	269	80	588	0	32	4	0	289	0	51	10	0	10	218	0	2	17	0	0	0	0	2	0	5	0	0	0	0	0	88	254	0	23	0	42	0	0	0	0	0	52	0	0	10	0	0	0	1077	0	70	0	0	3462	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	19	0	0	0	0	0	0	0	494	0	0	483	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4021.4.lib30	5	0	0	0	0	0	44	0	0	0	8518	0	0	0	0	0	0	18	0	140	0	14	0	0	0	14	18	6	0	0	0	0	0	83	22	44	0	0	0	0	0	219	47	244	2914	872	332	2291	0	47	0	0	1131	24	32	22	16	73	1112	0	22	64	9	0	0	0	31	0	70	0	0	0	0	0	231	1140	0	103	0	148	0	0	0	0	0	93	0	0	89	0	0	0	1834	0	65	0	0	3892	5	0	0	0	0	0	0	0	0	0	0	618	0	0	0	74	8	0	0	14	5	0	0	1864	0	0	1438	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4026.2.lib30	17	0	2	0	0	0	0	0	0	0	1435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0	0	0	216	26	0	462	52	42	0	0	0	0	0	234	0	18	3161	0	0	388	0	0	0	0	297	0	0	0	0	0	0	0	0	1872	48	0	0	0	0	0	577	0	0	0	0	6030	2494	390	0	0	0	87	0	0	3	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	242	21	0	0	13	27	3	0	0	0	0	0	18919	0	0	703	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4026.3.lib30	0	0	0	0	0	0	0	0	0	0	963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	32	0	2	128	26	0	0	0	0	0	0	233	0	0	1042	0	0	146	0	0	0	0	128	0	0	0	0	0	0	0	0	1957	23	0	0	0	0	0	243	0	0	0	0	4416	1094	128	0	0	0	167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	2	11	0	0	0	0	0	0	15438	0	0	101	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4026.4.lib30	22	0	14	0	0	0	0	0	0	0	3461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142	0	0	0	0	309	27	6	405	38	18	0	0	0	0	0	462	0	11	4791	0	0	1106	0	0	0	0	515	0	0	0	0	0	0	0	0	5932	61	0	0	0	0	0	1782	0	0	0	0	11741	6439	521	0	0	0	427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	249	0	0	0	0	10	0	0	0	0	0	0	26655	0	0	337	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0
4029.2.lib29	5	0	3	0	5	0	0	0	0	0	169	0	0	0	0	0	0	0	0	8	0	0	0	6	0	0	0	0	0	0	0	0	7	112	5	0	0	0	0	0	0	0	0	2	62	0	0	0	0	0	0	8	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	185	14	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	2	0	0	4	0	18	28539	0	628	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4029.3.lib29	12	14	23	11	0	0	0	0	0	0	252	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	25	300	4	14	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	11	0	21	2	0	0	18098	0	198	45	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4029.4.lib29	24	0	0	0	0	0	0	0	0	0	326	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	78	903	24	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	2	0	0	0	0	0	45817	0	408	177	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
